phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax,parallax_error,parallax_over_error,ag_gspphot,teff_gspphot,logg_gspphot
15.029866,16.579653,13.824389,17.3663481254816,0.031688698,548.0297,,,
15.590765,17.099379,14.395179,10.764629541880383,0.03892586,276.54187,0.51,3369.0544,4.803
19.451063,20.91476,17.88633,17.950186985965153,0.45881063,39.123302,,,
18.172075,20.515472,16.790283,10.94696874729788,0.21526529,50.853386,,,
20.585518,20.961544,19.024075,11.270886934775408,1.6424147,6.862388,,,
15.065519,16.76682,13.817128,17.052717283322902,0.03160953,539.4802,,,
5.883992,6.0531483,5.576332,23.1939200794336,0.031118443,745.3432,0.0,6873.848,4.0645
7.3485003,7.669333,6.8568206,21.47188045529033,0.024101965,890.8768,2.0E-4,5664.091,4.0912
14.779146,16.028385,13.671795,10.015112021544363,0.038202647,262.15753,0.4296,3587.7366,4.806
16.910519,18.752983,15.64039,10.877231591595988,0.087440655,124.39559,,,
11.999055,12.997589,10.862358,16.45348479873086,0.34861833,47.19627,,,
15.791824,17.393488,14.5714445,12.017313949979252,0.044075888,272.6505,,,
8.682107,8.674688,7.6401534,23.04580238962814,0.04379017,526.278,,,
8.0275345,8.294506,7.586774,12.922846393124061,0.04469619,289.12637,3.0E-4,5971.4253,4.1361
15.524658,17.674856,14.172857,28.768977053546553,0.05100125,564.0838,,,
12.199197,12.9700985,11.343612,10.322727585610998,0.016324366,632.35095,0.3766,4419.01,4.6296
15.356008,15.319015,15.463328,19.98560445538439,0.047942497,416.86618,,,
20.69587,21.250612,19.187828,12.394585198190567,1.2914066,9.59774,,,
13.504987,14.968083,12.319238,27.260621058031155,0.023454612,1162.2712,4.0E-4,3280.231,4.9541
13.665395,15.095627,12.492293,23.62517112103044,0.024801886,952.5554,0.0087,3217.445,4.6636
12.037538,12.867126,11.141928,13.8271724685126,0.015716577,879.78265,0.2673,4200.4287,4.6104
19.08823,20.228558,17.225163,15.145732538162317,0.8792928,17.224903,,,
12.078186,13.253375,10.997761,24.013842432491053,0.023912862,1004.2229,,,
14.768561,16.065435,13.646535,10.503998564282993,0.027711747,379.04498,0.4796,3555.2756,4.7809
14.891014,16.283333,13.737674,13.307593115335209,0.0281925,472.02603,,,
16.783115,18.986422,15.4325285,20.290304385630403,0.09466011,214.34904,,,
13.71307,15.014227,12.589944,25.908844917029448,0.018806405,1377.6608,,,
15.270865,16.485403,14.16149,10.987955500568766,0.04336852,253.36247,0.3566,3447.3005,4.541
18.154522,20.375298,16.756052,11.1768440356633,0.17129469,65.249214,,,
16.2652,17.794592,15.066739,10.110783536855022,0.06141196,164.63867,0.4431,3338.8306,4.9886
17.209633,20.164864,15.711757,27.120988582096572,0.117930345,229.97464,,,
15.016357,16.462002,13.839817,18.617586531040637,0.029052226,640.83167,,,
18.83412,21.599503,17.280294,18.36742559401933,0.29807302,61.620556,,,
16.474619,18.8282,15.0877905,23.680355576859142,0.07381727,320.79697,,,
17.703497,19.81151,16.350796,11.373241199921308,0.11861778,95.88142,,,
15.416297,16.90341,14.227257,11.525239082557171,0.037372474,308.38846,0.5311,3418.4648,4.9165
15.25972,16.925392,14.019494,14.922523480604667,0.0373033,400.03226,,,
5.756682,6.0736275,5.269786,59.472793108702625,0.036096618,1647.6002,0.0,5750.9917,4.4057
8.746449,9.066816,8.2565365,10.119759962403041,0.01865332,542.5179,0.0258,5767.4263,4.0948
4.065172,4.595212,3.387941,17.619441960173923,0.18534274,95.0641,,,
15.824963,17.577972,14.560229,12.025128795898286,0.061981007,194.01312,,,
8.725471,8.982477,8.305279,11.132892584047802,0.018983105,586.4632,8.0E-4,6149.507,4.277
12.639683,13.517338,11.716362,11.699858904596496,0.018942466,617.65234,,,
9.629856,9.9749,9.115157,11.3446939892343,0.015988667,709.54596,0.0259,5610.1514,4.4256
15.194421,16.717627,13.992056,11.45310802730921,0.033859394,338.25497,0.4938,3393.745,4.8636
14.295124,15.481021,13.215655,11.28999130491364,0.02218273,508.9541,0.4427,3659.0798,4.8156
15.619622,17.031454,14.459607,10.237362380196027,0.04428788,231.15495,0.4875,3424.8928,4.7747
15.182528,16.881474,13.935977,19.548036078428886,0.037529495,520.8713,,,
13.729659,,,17.032853114920435,0.07128627,238.93596,,,
13.60348,15.2797365,12.361332,27.971987717883657,0.022119787,1264.5686,2.0E-4,3000.182,4.3177
14.927282,16.400986,13.659372,20.11562498845623,0.03156532,637.2698,,,
13.996849,15.093855,12.956005,10.206784798180621,0.020621598,494.9561,0.426,3776.511,4.7514
13.980732,15.212722,12.878695,12.601043365598592,0.020666951,609.7195,,,
9.920633,10.287307,9.385546,10.969874447270998,0.018589059,590.12537,0.098,5590.456,4.4907
14.417983,15.807238,13.258037,11.831171660416297,0.027482554,430.49753,0.4832,3536.1707,4.7735
17.32866,17.47495,17.091991,14.90199885781868,0.08646509,172.347,,,
17.16023,19.231987,15.845228,14.462367167453491,0.10753655,134.48793,0.0014,2989.899,5.1771
18.47584,18.825628,18.002804,14.04087378543737,0.17308533,81.12111,,,
17.998743,20.18107,16.630644,10.29283045359567,0.15371719,66.959526,,,
14.468943,15.021787,12.783447,10.808705018847348,0.06429941,168.0996,,,
17.878334,19.966679,16.516155,12.24696244052729,0.13778836,88.882416,0.0021,2919.187,5.1803
14.657369,16.081863,13.490332,13.780113518176917,0.026330922,523.3434,,,
13.898657,15.20837,12.769772,17.349804031770535,0.018729234,926.3488,,,
16.774261,18.862175,15.456452,17.58501923215187,0.073559925,239.05705,0.0021,3001.6218,5.1973
16.890316,18.979412,15.535499,12.87242363368896,0.07871394,163.53424,,,
10.950188,11.65066,10.142392,17.680016267228847,0.016502414,1071.3594,,,
17.136904,19.56835,15.770344,17.575924333295465,0.10273341,171.08284,4.0E-4,2892.7751,5.1712
14.727054,16.143625,13.558611,14.441913633807447,0.024984041,578.04553,,,
10.219606,10.810019,9.497958,18.09840210734654,0.020715281,873.67395,8.0E-4,4551.2744,4.572
7.910992,8.374129,7.281984,12.280152590785635,0.024038954,510.8439,0.0962,5009.004,3.608
13.108954,14.554293,11.930504,32.158864741441754,0.01979967,1624.2122,0.0,3101.838,4.3459
11.82393,12.466366,11.0583105,10.333140936682685,0.013801931,748.6735,0.14,4507.482,4.6161
16.34798,17.915533,15.137556,12.415531949779256,0.056327403,220.41725,,,
18.139666,20.19149,16.736507,10.893964556850486,0.17002834,64.071465,,,
15.379364,16.96762,14.160043,13.4703251325667,0.047189955,285.449,,,
19.973873,20.605572,19.123718,10.503715568341924,0.6077523,17.282888,,,
18.412205,20.79084,17.026754,11.59436878515493,0.19750561,58.704,,,
14.022943,15.321938,12.898183,12.784334906436886,0.056484308,226.33427,,,
12.9907255,14.440956,11.809853,24.374941791512807,0.023215115,1049.96,0.0633,3317.0186,4.7378
14.537064,16.080818,13.312762,13.82699586660739,0.085446104,161.82126,,,
14.420071,15.801731,13.265762,12.481501952831406,0.028362786,440.06613,0.4546,3506.1216,4.8006
13.5160675,14.992011,12.32817,22.060206671917264,0.02255404,978.10443,0.1288,3325.2249,4.8426
10.94,11.48977,10.2398615,13.674010304064424,0.014968975,913.49005,0.0149,4616.809,4.5835
18.950825,19.234785,18.543911,10.333976773574229,0.2584747,39.980614,,,
9.024732,9.354324,8.524687,14.282667729845546,0.018785149,760.31696,3.0E-4,5624.321,4.4166
17.022753,18.949326,15.725434,11.013243721995448,0.095387615,115.457794,,,
14.548285,16.360102,13.263946,11.339755162055544,0.052537862,215.83968,,,
11.09795,12.468008,9.9474325,58.46895604154765,0.036587466,1598.0597,8.0E-4,3136.3923,4.1734
14.936498,16.32422,13.773993,10.60351688910153,0.04025671,263.39752,0.5259,3504.4014,4.8222
14.442996,15.883848,13.268868,12.885299858368384,0.0220154,585.28577,0.4795,3476.71,4.8034
19.14296,19.634783,18.507977,15.939883440898022,0.2862047,55.693996,,,
14.638918,16.10233,13.460003,14.688954997215719,0.030465733,482.1468,,,
9.681743,10.175344,9.027448,20.381613736505265,0.021616824,942.8588,1.0E-4,4807.933,4.5631
17.079023,17.14972,16.96762,10.769078848621248,0.10718817,100.46891,,,
18.226933,20.712833,16.793825,14.42765495497383,0.23632716,61.0495,,,
15.540302,15.534207,15.605128,16.768577967029678,0.037922222,442.1834,,,
12.752853,13.95359,11.667905,22.688609116593433,0.022365872,1014.42993,,,
18.069849,18.36894,17.673529,13.66600608972953,0.1448007,94.37804,,,
18.63983,21.362734,17.143652,10.14494743266638,0.26447153,38.359318,0.1414,2722.1062,4.9805
17.16822,17.479414,16.703829,25.701808277998992,0.09997394,257.08508,,,
15.932829,17.773188,14.647097,10.739458823671729,0.043475844,247.02129,0.6968,3275.9497,4.8639
14.795586,16.366135,13.588011,25.74536799671886,0.033687774,764.2348,0.0011,3203.0413,5.1034
