,Apparent G magnitude,Blue photometer magnitude,Red photometer magnitude,Parallax,Parallax error,Parallax over error,Extinction in G band,Effective temperature,Surface gravity,Distance,Color index,Absolute visual magnitude,Absolute magnitude,Log luminosity,Spectral class
11869,14.706649,15.896851,13.621226,10.91134046576873,0.024240896,450.12115,0.361,3590.9365,4.878,91.64776803887841,2.275625,10.429061178882051,9.5350395362258,-1.9500158144903197,M
11873,11.799033,12.681934,10.866014,16.90324562478042,0.017373996,972.9049,0.3621,4116.3584,4.6524,59.160235980596795,1.8159200000000002,8.14176905822329,7.576783511706807,-1.166713404682723,K
11876,12.69436,13.560697,11.776613,11.05531779618017,0.013360733,827.4484,0.3787,4151.605,4.6417,90.4542066032258,1.784084,8.076772903400148,7.533516156619651,-1.1494064626478604,K
11878,8.272383,8.49203,7.888827,11.766191073387596,0.024468932,480.86246,0.0134,6431.301,4.2746,84.9892708492359,0.6032029999999997,3.6955799444869175,3.612162483491918,0.41913500660323283,F
11879,12.41905,13.212517,11.50329,10.038337835966756,0.03053619,328.73578,0.4854,4345.427,4.5967,99.61808581666385,1.7092270000000003,7.428740676735245,6.94195903793522,-0.912783615174088,K
11881,13.863812,15.225807,12.71108,12.207039910994563,0.017133383,712.47107,0.39,3483.3142,4.5861,81.91994187709061,2.514726999999999,9.998005996139607,8.906863822519185,-1.6987455290076738,M
11882,7.5054274,7.7410645,7.106645,15.39958963014577,0.02988843,515.2358,0.0002,6270.983,4.11,64.93679533137885,0.6344194999999999,3.5344161963653455,3.442773139332367,0.48689074426705337,F
11888,15.021814,16.392853,13.871149,10.43894289326444,0.02763975,377.67862,0.5145,3513.432,4.8334,95.79514039158448,2.521703999999998,10.685422750474864,9.600596608816574,-1.9762386435266295,M
11892,7.8119464,8.097132,7.36058,13.41869250055654,0.03196906,419.74,0.0004,5955.3477,4.1019,74.52290899120946,0.7365520000000005,3.5666726834218068,3.4500974041062733,0.48396103835749077,G
11895,8.310437,8.583355,7.868613,10.389553660718075,0.017800722,583.6591,0.0018,5983.688,4.1099,96.2505255428735,0.7147419999999993,3.5024248637279687,3.391621452487083,0.5073514190051668,G
11898,9.35772,9.777505,8.769478,16.975982400520294,0.014495006,1171.1608,0.0956,5282.0137,4.4788,58.90675287041716,1.0080270000000002,5.602241359329472,5.41129458156081,-0.30051783262432397,G
11901,15.990287,17.737946,14.726852,10.676190405070766,0.046538685,229.40463,0.5783,3275.3887,4.9084,93.66636993707415,3.0110940000000017,12.104844859707853,10.554068553159858,-2.357627421263943,M
11906,14.353429,15.678516,13.216563,11.904909745779404,0.022142254,537.65576,0.4421,3531.4524,4.7496,83.99895684673507,2.4619529999999994,10.330040551702147,9.289959536269151,-1.8519838145076606,M
11908,8.824374,9.198669,8.279228,17.830505704990824,0.015403484,1157.5631,0.0204,5407.873,4.4476,56.08365890150252,0.9194410000000008,5.228078056376097,5.059792303586386,-0.15991692143455438,G
11910,14.89623,16.303637,13.731628,10.808485233713556,0.02606509,414.67285,0.483,3486.8806,4.8216,92.5199025003823,2.5720089999999978,10.714756036875066,9.58205416785384,-1.9688216671415362,M
