source_id,parallax,parallax_error,phot_g_mean_mag,bp_rp,distance_pc
130961288092017280,10.56984358171099,0.108954385,12.122968,1.5729599,94.60877942700127
130992624173466880,12.578670077493946,0.0665883,14.109809,2.5735674,79.49966044416918
131994279266458112,10.045267053426159,0.023164414,14.228413,2.3495522,99.5493693379638
133404402929296128,10.41596204634929,0.020628097,11.422039,1.2635765,96.00649422013706
133462608329262976,10.164024924227371,0.018587943,9.474371,0.7407913,98.38622075949071
133674814071006464,13.71215541772069,0.022376155,13.773112,2.3286114,72.92799487290421
133706390672443008,12.409379351166633,0.20952988,18.722782,3.998825,80.58420745321061
133773701399870848,10.167963244442554,0.03041277,14.912162,2.5592222,98.34811318250628
133939246617303680,13.542755535610919,0.06239662,16.275616,-0.06388855,73.84021644417062
134530165398026496,13.562588874499564,0.05583076,15.58549,2.9378834,73.73223572972887
135852499929106816,17.39159535288327,0.020113839,9.690854,1.0799265,57.49903788062863
136838005944597248,31.653021325250222,0.01835844,13.077024,2.6335917,31.59256077720078
137453728160103168,13.426379431244735,0.16038476,18.116493,4.144949,74.48024280267877
137597287443629568,11.55175694995503,0.028418936,14.331929,2.5801544,86.56691829063223
137618899718952192,17.588491939381278,0.021565862,9.378466,1.0762844,56.85535766491517
138009810462247296,17.78017110925801,0.027844561,7.4471154,0.67438316,56.24242836894337
138709129923972608,15.06474645204918,0.101619065,17.16413,3.682558,66.38014142375262
139050360779012608,16.230227832848144,0.021770485,10.887315,1.3565674,61.61342960177757
139474737907945728,12.839739191831598,0.017038299,13.285183,2.174244,77.88320191395954
139632861423099008,14.074291569614894,0.041709136,15.154763,3.0934105,71.05153357479877
139761263765361920,17.714565938557346,0.23996264,13.812071,2.7764606,56.45071990295907
140337648376380672,15.213239111996685,0.037966546,15.230642,2.9614077,65.7322213000275
140662927723337344,15.549707098140374,0.019397438,13.532904,2.3377247,64.30989302168864
140891699158206464,12.87060540145222,0.1848964,14.196285,2.9437275,77.696422880556
140961793024255488,10.98329325266294,0.04083553,15.373184,2.70753,91.04737322365006
141092153871969280,12.34306771960414,0.016929766,9.21455,0.79065704,81.01713631626023
141842707994732672,10.170685599268255,0.21240216,17.5996,3.5145626,98.32178865817527
141910534119968640,13.881536419113525,0.04898506,15.505523,2.8736944,72.03813539134597
142874737098263808,11.095036306792004,0.018865893,9.509297,0.8568039,90.13039456101951
143272554149050624,10.062697232461323,0.01592857,12.245269,1.5549173,99.37693412598098
143667102727876864,15.20095305592227,0.01834997,12.877773,2.0592632,65.78534887392482
144111618959845760,14.461242585543733,0.039462287,15.241738,2.9975195,69.15035095252851
144376085867047168,11.929282978262759,0.017168172,13.60592,2.0971146,83.82733495568635
144702675178054272,11.640974116589714,0.19963513,18.056217,1.9560795,85.90346391844358
144888041671861504,10.217142204231768,0.09612811,17.025286,3.151969,97.87472661247847
145391484855481344,20.158816761462322,0.05548979,5.6573215,0.373621,49.60608610281648
145481713528186496,11.81366031602065,0.04915281,15.886987,2.9560642,84.64776989091922
146848750077282816,10.107327837609548,0.022312287,7.0869217,0.62182283,98.9381185676972
147213719217929856,15.048210093887334,0.025830897,8.074996,0.735168,66.4530860322189
148184656704340352,23.36486408762095,0.017994905,13.120274,2.5761738,42.79930738094106
148600065941943296,12.451076095869706,0.021042017,9.710513,0.8827925,80.31434329854605
148946068509187456,18.68244030535824,0.14288814,13.4680605,,53.52619805846208
149585675035895168,10.85204658243828,0.04469926,12.33166,1.7274551,92.14851709338278
68839980634816384,10.427849246728847,0.16670728,13.371906,2.077076,95.89705185982564
69027275567598720,21.00905723346026,0.017303543,12.585179,2.028614,47.59851852882485
69232540645552512,20.757628946842477,0.054630097,15.800287,2.9972315,48.175059037853835
69591462472837888,10.91753771097891,0.029538602,14.325629,2.5710707,91.59574498143282
70412316624566272,31.895794365814698,0.030169124,13.293111,2.71453,31.352095782000053
70813844527285632,20.824940109904396,0.023295378,11.225569,1.742445,48.019345780706345
71568624896554240,12.20856767147933,0.3595083,18.95823,3.4281292,81.90969054757498
71860167278734848,14.9153973473837,0.05559764,13.516493,2.7316494,67.04481125844156
72769463393111552,11.35952956986616,0.050152563,15.600826,2.6973562,88.03181450865154
72947652996251520,11.659455263271663,0.04284689,15.090624,2.6588688,85.76730022285777
73113198215612160,20.345204807282297,0.024542568,14.010109,2.6616154,49.151631034063776
74008612997555840,20.958658561131568,0.04457805,15.33813,3.25416,47.71297729209295
74034692038977408,16.012608373441832,0.025344145,13.672368,2.6776571,62.45078732198175
74958964705521152,13.94591731991229,0.021865861,14.232315,2.3738832,71.70557354245732
